tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2026-407,Rotterdam,Hard,32,500,I,20260209,1,V812,,,Botic van de Zandschulp,R,191,NED,30.352,65,849,P0AY,,,Luka Pavlovic,R,196,FRA,25.864,219,262,7-6(5) 6-3,3,R32,95,6,6,67,40,32,13,11,4,6,8,1,76,37,28,13,10,6,9
2026-407,Rotterdam,Hard,32,500,I,20260209,2,HH26,,,Ugo Humbert,L,188,FRA,27.625,36,1335,MM58,4,,Daniil Medvedev,R,198,RUS,29.996,11,3060,7-6(4) 3-6 6-3,3,R32,142,4,2,98,63,43,24,15,7,8,6,9,102,60,50,18,15,4,5
2026-407,Rotterdam,Hard,32,500,I,20260209,3,N771,6,,Cameron Norrie,L,188,GBR,30.467,26,1603,BD06,,,Roberto Bautista Agut,R,183,ESP,37.823,85,685,7-6(3) 6-1,3,R32,114,9,3,88,49,38,18,10,7,9,2,0,63,41,25,9,9,2,6
2026-407,Rotterdam,Hard,32,500,I,20260209,4,O483,,,Christopher O'Connell,R,183,AUS,31.688,119,511,R0EB,,,Valentin Royer,R,188,FRA,24.701,57,897,6-4 4-6 7-6(4),3,R32,172,10,3,102,62,47,19,16,4,7,7,3,125,79,54,20,16,8,11
2026-424,Dallas,Hard,32,250,I,20260209,1,N0AE,,,Brandon Nakashima,R,188,USA,24.52,29,1535,B0GG,,,Mattia Bellucci,L,175,ITA,24.693,107,553,6-3 6-4,3,R32,68,11,0,44,36,35,5,10,0,0,6,2,53,34,25,9,9,4,6
2026-506,Buenos Aires,Clay,28,250,O,20260209,1,MO44,,,Pedro Martinez,R,185,ESP,28.791,94,636,M0OH,,,Lautaro Midon,R,180,ARG,21.867,229,245,6-4 6-1,3,R32,95,1,3,54,37,30,5,8,4,5,3,1,66,37,20,13,9,6,11
2026-506,Buenos Aires,Clay,28,250,O,20260209,2,DA31,,,Hugo Dellien,R,180,BOL,32.652,167,355,D923,,,Damir Dzumhur,R,175,BIH,33.725,62,877,6-4 6-1,3,R32,74,2,1,51,42,32,6,9,2,2,1,2,49,37,23,5,8,2,5
2026-407,Rotterdam,Hard,32,500,I,20260210,5,MU94,,,Jaume Munar,R,183,ESP,28.769,37,1185,B0U4,,,Nicolai Budkov Kjaer,R,191,NOR,19.444,132,476,6-1 6-3,3,R32,71,4,2,44,25,20,14,8,2,2,4,1,46,33,18,6,8,2,6
2026-424,Dallas,Hard,32,250,I,20260210,2,K0AH,,,Sebastian Korda,R,196,USA,25.602,53,960,Z0BZ,,,Michael Zheng,R,188,USA,22.04,151,414,6-3 6-4,3,R32,67,9,1,51,30,29,12,10,1,1,3,1,60,46,30,8,9,6,8
2026-424,Dallas,Hard,32,250,I,20260210,3,DH50,3,,Alejandro Davidovich Fokina,R,180,ESP,26.686,14,2535,S0K7,,,Zachary Svajda,R,175,USA,23.201,110,551,6-4 7-6(1),3,R32,94,6,0,71,51,37,13,11,3,4,10,0,74,53,43,4,11,3,5
2026-424,Dallas,Hard,32,250,I,20260210,4,TD51,8,,Frances Tiafoe,R,188,USA,28.057,30,1510,A0GC,,,Terence Atmane,L,193,FRA,24.088,64,849,4-6 6-2 6-2,3,R32,108,3,1,77,43,32,19,13,3,5,12,3,74,45,32,10,13,2,7
2026-506,Buenos Aires,Clay,28,250,O,20260210,4,EA24,7,,Tomas Martin Etcheverry,R,196,ARG,26.568,54,945,PH64,,,Andrea Pellegrino,R,185,ITA,28.887,145,434,6-3 6-4,3,R32,98,7,1,61,34,29,13,10,1,1,4,2,55,36,26,9,9,3,5
2026-506,Buenos Aires,Clay,28,250,O,20260210,5,KI82,,,Vit Kopriva,R,178,CZE,28.657,95,632,B0GY,,,Alex Barrena,R,175,ARG,23.337,180,336,6-4 3-6 6-4,3,R32,147,4,5,86,57,39,12,14,3,7,4,4,109,68,43,17,15,6,11
2026-407,Rotterdam,Hard,32,500,I,20260210,6,DH58,1,,Alex de Minaur,R,183,AUS,26.981,8,3835,F0F1,,,Arthur Fils,R,185,FRA,21.665,42,1110,7-6(3) 6-2,3,R32,92,2,1,57,37,28,16,10,1,2,4,3,70,47,29,11,10,2,5
2026-407,Rotterdam,Hard,32,500,I,20260210,7,GJ37,7,,Tallon Griekspoor,R,188,NED,29.61,27,1585,M0GZ,,,Giovanni Mpetshi Perricard,R,203,FRA,22.595,56,905,6-4 6-4,3,R32,72,10,0,63,39,32,16,10,6,6,7,3,54,38,31,5,10,2,4
2026-407,Rotterdam,Hard,32,500,I,20260210,8,HB64,,,Quentin Halys,R,191,FRA,29.292,77,725,R0KD,,,Mees Rottgering,L,180,NED,18.598,614,59,3-6 6-1 6-1,3,R32,113,11,3,76,47,38,10,12,5,7,2,3,92,49,24,22,11,8,13
2026-407,Rotterdam,Hard,32,500,I,20260210,9,SL28,,,Jan-Lennard Struff,R,193,GER,35.797,82,706,GF95,,,Hugo Grenier,R,196,FRA,29.886,188,323,6-0 6-4,3,R32,64,3,1,45,23,19,14,8,1,2,1,3,50,25,17,6,8,7,12
2026-424,Dallas,Hard,32,250,I,20260210,5,KI95,,,Miomir Kecmanovic,R,183,SRB,26.448,66,820,SY67,,,Sho Shimabukuro,R,180,JPN,28.534,144,441,6-7(3) 6-3 7-6(3),3,R32,124,6,1,94,64,49,24,17,1,2,13,1,99,59,49,23,16,1,3
2026-424,Dallas,Hard,32,250,I,20260210,6,C977,,,Marin Cilic,R,198,CRO,37.369,61,890,T0HA,6,,Learner Tien,L,180,USA,20.192,23,1710,7-5 7-6(4),3,R32,110,9,3,82,47,41,14,12,2,4,9,6,75,42,32,13,12,1,4
2026-506,Buenos Aires,Clay,28,250,O,20260210,6,B0FV,,,Roman Andres Burruchaga,R,183,ARG,24.049,104,568,DB63,,,Laslo Djere,R,188,SRB,30.694,91,651,6-2 6-4,3,R32,79,2,1,46,31,27,10,9,1,1,3,3,61,37,23,11,9,6,9
2026-506,Buenos Aires,Clay,28,250,O,20260210,7,C0C8,,,Juan Manuel Cerundolo,L,183,ARG,24.238,80,717,AE14,5,,Daniel Altmaier,R,188,GER,27.414,51,995,6-2 6-2,3,R32,87,0,0,51,40,31,5,8,1,1,2,4,54,37,21,6,8,6,10
2026-506,Buenos Aires,Clay,28,250,O,20260210,8,BS86,,,Tomas Barrios Vera,R,191,CHI,28.17,114,546,SX91,,,Thiago Seyboth Wild,R,185,BRA,25.922,197,305,4-6 6-5 RET,3,R32,123,4,1,58,37,24,11,11,3,7,8,3,75,49,29,14,10,7,10
2026-506,Buenos Aires,Clay,28,250,O,20260210,9,TE30,,,Alejandro Tabilo,L,188,CHI,28.693,71,774,D0CG,,,Facundo Diaz Acosta,L,183,ARG,25.155,285,182,7-6(5) 6-3,3,R32,110,2,1,71,49,37,13,11,2,2,6,2,62,41,29,13,10,0,1
2026-407,Rotterdam,Hard,32,500,I,20260211,10,M0JF,,,Hamad Medjedovic,R,188,SRB,22.571,79,717,BU13,,,Zizou Bergs,R,185,BEL,26.694,39,1170,7-6(5) 7-6(5),3,R32,139,8,6,96,60,41,19,12,7,10,10,4,97,50,31,28,12,5,8
2026-424,Dallas,Hard,32,250,I,20260211,7,SU55,7,,Denis Shapovalov,L,185,CAN,26.828,40,1160,J0DZ,,,Rafael Jodar,R,191,ESP,19.403,124,498,6-1 6-2,3,R32,69,7,3,44,22,16,15,7,5,6,1,1,59,36,17,7,8,4,10
2026-424,Dallas,Hard,32,250,I,20260211,8,FB98,1,,Taylor Fritz,R,196,USA,28.29,7,3940,GC88,,,Marcos Giron,R,180,USA,32.553,59,895,6-4 5-7 7-6(1),3,R32,146,21,1,99,70,57,14,17,3,5,9,2,113,74,52,21,17,8,10
2026-424,Dallas,Hard,32,250,I,20260211,9,S0S1,2,,Ben Shelton,L,193,USA,23.343,9,3560,D0F6,,,Gabriel Diallo,R,203,CAN,24.383,38,1175,6-4 6-4,3,R32,97,13,3,59,34,28,16,10,3,3,6,3,56,36,29,7,10,1,3
2026-424,Dallas,Hard,32,250,I,20260211,10,P0HT,,,Jack Pinnington Jones,R,180,GBR,22.872,181,331,C0E9,4,,Flavio Cobolli,R,183,ITA,23.77,20,1955,6-2 6-2,3,R32,53,11,2,38,28,25,7,8,0,0,4,2,42,22,13,8,8,1,5
2026-424,Dallas,Hard,32,250,I,20260211,11,K0AZ,,,Aleksandar Kovacevic,R,183,USA,27.455,78,721,K0A3,,,Patrick Kypson,R,188,USA,26.292,109,552,6-4 7-6(1),3,R32,84,24,2,57,36,34,14,11,0,0,7,1,70,50,36,12,11,5,6
2026-424,Dallas,Hard,32,250,I,20260211,12,M0QI,,,Alex Michelsen,R,193,USA,21.465,41,1160,D875,,,Grigor Dimitrov,R,191,BUL,34.743,43,1105,5-7 6-4 6-4,3,R32,125,16,4,92,71,54,12,16,4,5,14,5,89,53,44,17,16,1,3
